id,index,x,y,vy,vx,size
2,0,667.2762299491292,317.57641888914907,0.0236340562211735,-0.007504960227636191,5
1,1,462.8240214455054,321.7450678070005,0.02226918446688752,-0.007135385363556008,5
3,2,557.2201379242777,192.32346855629623,0.0243122488890287,-0.0072810550247982015,5
4,3,658.6832003756872,360.0795230468247,0.019457457722216995,-0.00667990443872124,5
5,4,440.7306890992938,308.4820603340198,0.024663599690955395,-0.007842958544933562,5
6,5,668.2148847446937,285.54999909768253,0.023103983883996197,-0.008137991702223773,5
7,6,505.58273900278317,366.61636559404667,0.020217727814246956,-0.007767554842897965,5
8,7,463.1854670431318,195.2433911985007,0.022861851053829648,-0.005288833239161016,5
9,8,624.7299948335368,362.47443100457497,0.027715778655507468,-0.008719545229600136,5
10,9,414.6009718514061,276.6737977460679,0.018813872932531586,-0.005906922612082304,5
11,10,647.5436734336283,244.46598155634723,0.024930799296682665,-0.00773196925879082,5
12,11,470.16302398635247,408.4926427843645,0.021627579729082056,-0.010083169842694242,5
13,12,447.8624152766731,217.88789731484297,0.022222961053850864,-0.006253641852458607,5
14,13,618.0220755914271,325.14781444447885,0.025084851689549156,-0.007945623157616486,5
15,14,444.9998090238761,391.78407119159397,0.01882790586497776,-0.006676960864956111,5
16,15,412.8349007475406,244.14127459956066,0.02354543228883056,-0.006492166814426792,5
17,16,592.1702234582355,401.97731338495566,0.023474468279061404,-0.00932835454273617,5
18,17,423.4746255352619,405.87435903251225,0.02607311810225205,-0.0042135333436687785,5
19,18,618.2848899661818,406.88400831804984,0.026937586396769027,-0.009272811667219822,5
20,19,542.8112010441943,364.1271273213937,0.023751075525560193,-0.0017320475633483055,5
21,20,389.60892343801663,284.21232125345085,0.027952688271407213,-0.00691969958964594,5
22,21,596.0171410311787,362.3504705286852,0.02344582586089019,-0.007814661908905231,5
23,22,463.8104058881904,437.4691755537535,0.02288168742048024,-0.008055388528142058,5
24,23,588.5345276248345,224.05945071920257,0.024265638115026623,-0.007460743282086107,5
25,24,487.2551544257771,450.5180794747778,0.022840755529397263,-0.009468951442546862,5
26,25,399.87009563121217,365.6448972205402,0.025342661069368333,-0.007048801289298117,5
27,26,422.473416667097,373.53591458876963,0.024607916426316472,-0.010918576513494118,5
28,27,419.68814887119146,353.15738257666715,0.022258263715031843,-0.006898001608070513,5
29,28,404.4305225336202,340.09661578307146,0.024629486293572846,-0.009239811619682611,5
30,29,450.6462564793715,366.6530435613292,0.023304112549291035,-0.008449943906660177,5
31,30,480.12453948609595,391.12070019318367,0.024641132016937715,-0.0051029404842136234,5
32,31,517.9952543463528,450.8454398769694,0.023756622718055703,-0.009915033150534762,5
33,32,543.987842139779,440.16502308060967,0.025342241254894652,-0.009118809298167033,5
34,33,524.2199547883155,404.76238955934815,0.024052374742404233,-0.009110088699892379,5
35,34,546.8004256720795,414.5847623999503,0.025219534571553587,-0.009320618815993277,5
36,35,524.1529925579948,424.4216910574698,0.024328945663362096,-0.008350305360410445,5
37,36,561.4726337673036,433.93250944275974,0.02519166919658576,-0.009242363620230298,5
38,37,587.1876034469146,427.7865946639131,0.024021015955535813,-0.010061152756344675,5
39,38,562.3478784009424,389.4462282077542,0.025764704667826367,-0.008770063601441495,5
40,39,635.6029105321879,286.6095208580293,0.02723071293402562,-0.00880429043122135,5
41,40,608.8507380217845,230.73989917243853,0.025748712119244795,-0.008205182093312427,5
42,41,523.631629577463,208.98878225739895,0.02533106745353667,-0.0076673897734122805,5
43,42,672.5491683692054,227.89903863050628,0.02586493121124314,-0.007909217280508677,5
44,43,542.119655490769,109.71020250168326,0.023019678860637854,-0.006729707039823361,5
45,44,579.7124439859747,117.67987819224115,0.023357438328996075,-0.006880806783746455,5
46,45,613.1344883637425,126.48229795379078,0.02333627515579526,-0.006826759537455552,5
47,46,560.3442244699129,106.12152673490303,0.023384696231078996,-0.006873182790513887,5
48,47,598.8723858043963,112.69311970182812,0.02306803403934946,-0.006180471452249899,5
49,48,538.8365792637575,88.15980252161481,0.023091905154970862,-0.006700625544293211,5
50,49,580.6288060770905,98.93236308609377,0.023264167766214133,-0.0067337543117824425,5
51,50,626.9256096462984,116.55264746590453,0.02328030004725357,-0.00716182268212705,5
52,51,556.6915586100903,84.5926622983718,0.023139864969425637,-0.0066763497997190694,5
53,52,596.8133217168789,88.09008569044721,0.023760582574477898,-0.00653289781726175,5
54,53,523.8810206071929,101.77185862977578,0.02330977568893051,-0.006660739499326198,5
55,54,575.296818844004,81.11680326046809,0.023450417698784292,-0.006602434895090073,5
56,55,613.8464455563997,98.88530230664344,0.02448285077863087,-0.006896556426602859,5
-1,-1,0,0,,,
-2,-2,1075,0,,,
-3,-3,0,572,,,
-4,-4,1075,572,,,
