Subplot,TreeID,TreeID_Onsite,Stand,Con_DBH,Con_X,Con_Y,Con_Z,Pad_DBH,Pad_X,Pad_Y,Pad_Z,Pho_DBH,Pho_X,Pho_Y,Pho_Z
3,17,125,Cp,23.0,-70051.03842,-110759.042,1.58,22.0,-70051.30469,-110756.9297,126.0,20.2,-70053.73438,-110760.6797,126.1
3,18,126,Cp,18.1,-70052.55853,-110759.3949,1.611,14.3,-70052.79688,-110757.2578,126.0,17.1,-70055.14844,-110761.0938,126.3
3,19,127,Cp,10.7,-70054.03606,-110759.6331,1.638,10.2,-70054.22656,-110757.5781,126.1,11.9,-70056.60156,-110761.5234,126.3
3,20,132,Cp,9.8,-70052.92995,-110761.7913,1.624,10.4,-70053.02344,-110759.7734,126.1,11.5,-70055.3125,-110763.6406,126.3
3,21,134,Cp,14.7,-70050.89084,-110761.3645,1.616,16.7,-70050.95312,-110759.2891,126.2,12.8,-70053.33594,-110763.1016,126.2
3,22,135,Cp,15.6,-70049.98161,-110761.22,1.624,15.3,-70050.01562,-110759.1719,126.2,14.5,-70052.42969,-110762.9297,126.2
3,23,136,Cp,10.8,-70049.05921,-110760.8049,1.596,14.6,-70049.09375,-110758.7344,126.2,12.1,-70051.49219,-110762.4609,126.2
3,24,137,Cp,12.8,-70048.22219,-110760.331,1.46,12.3,-70048.15625,-110758.4766,126.2,12.3,-70050.57812,-110762.2031,126.3
3,25,138,Cp,13.3,-70047.30036,-110760.1707,1.467,12.6,-70047.17188,-110758.3438,126.2,16.7,-70049.61719,-110762.0469,126.3
3,26,140,Cp,18.5,-70045.77168,-110761.6443,1.689,20.2,-70045.60156,-110759.7734,126.2,19.2,-70048.03906,-110763.4297,126.3
3,27,141,Cp,17.6,-70046.78757,-110762.1015,1.737,17.7,-70046.67188,-110760.2422,126.2,17.1,-70049.02344,-110763.9063,126.3
3,28,142,Cp,12.1,-70049.39358,-110763.2892,1.792,8.9,-70049.47656,-110761.1406,126.3,13.0,-70051.73438,-110764.9063,126.2
3,29,153,Cp,13.2,-70048.03628,-110764.5587,1.844,12.6,-70047.90625,-110762.6875,126.3,13.2,-70050.14844,-110766.4141,126.4
3,30,154,Cp,16.1,-70047.12548,-110764.2532,1.851,18.3,-70047.0,-110762.3828,126.3,17.9,-70049.21094,-110766.1094,126.4
