Category,Region,Year,Value,Area
Wood,Neamt,2009,253900,Hectares
Wood,Neamt,2010,253800,Hectares
Wood,Neamt,2011,253900,Hectares
Wood,Neamt,2012,254400,Hectares
Wood,Neamt,2013,254100,Hectares
Wood,Neamt,2014,255500,Hectares
Wood,Neamt,2015,257100,Hectares
Wood,Neamt,2016,257300,Hectares
Wood,Neamt,2017,257500,Hectares
Wood,Neamt,2018,257899,Hectares
Wood,Neamt,2019,257899,Hectares
Wood,Suceava,1990,428200,Hectares
Wood,Suceava,1991,428500,Hectares
Wood,Suceava,1992,428300,Hectares
Wood,Suceava,1993,428400,Hectares
Wood,Suceava,1994,428600,Hectares
Wood,Suceava,1995,428300,Hectares
Wood,Suceava,1996,428400,Hectares
Wood,Suceava,1997,428200,Hectares
Wood,Suceava,1998,428200,Hectares
Wood,Suceava,1999,425500,Hectares
Wood,Suceava,2000,424300,Hectares
Wood,Suceava,2001,424400,Hectares
Wood,Suceava,2002,423400,Hectares
Wood,Suceava,2003,421700,Hectares
Wood,Suceava,2004,419600,Hectares
Wood,Suceava,2005,420800,Hectares
Wood,Suceava,2006,421200,Hectares
Wood,Suceava,2007,421300,Hectares
Wood,Suceava,2008,420800,Hectares
Wood,Suceava,2009,420500,Hectares
Wood,Suceava,2010,420600,Hectares
Wood,Suceava,2011,421700,Hectares
Wood,Suceava,2012,422000,Hectares
Wood,Suceava,2013,422600,Hectares
Wood,Suceava,2014,422800,Hectares
Wood,Suceava,2015,423100,Hectares
Wood,Suceava,2016,424800,Hectares
Wood,Suceava,2017,425000,Hectares
Wood,Suceava,2018,425200,Hectares
Wood,Suceava,2019,425300,Hectares
Wood,Buzau,1990,156300,Hectares
Wood,Buzau,1991,156200,Hectares
Wood,Buzau,1992,156100,Hectares
Wood,Buzau,1993,156900,Hectares
Wood,Buzau,1994,157400,Hectares
Wood,Buzau,1995,156400,Hectares
Wood,Buzau,1996,155800,Hectares
Wood,Buzau,1997,155500,Hectares
Wood,Buzau,1998,155600,Hectares
Wood,Buzau,1999,155400,Hectares
Wood,Buzau,2000,155300,Hectares
Wood,Buzau,2001,155300,Hectares
Wood,Buzau,2002,154900,Hectares
Wood,Buzau,2003,155100,Hectares
Wood,Buzau,2004,155400,Hectares
Wood,Buzau,2005,155600,Hectares
Wood,Buzau,2006,149300,Hectares
Wood,Buzau,2007,156700,Hectares
Wood,Buzau,2008,157200,Hectares
Wood,Buzau,2009,155900,Hectares
Wood,Buzau,2010,156200,Hectares
Wood,Buzau,2011,157100,Hectares
Wood,Buzau,2012,158200,Hectares
Wood,Buzau,2013,157800,Hectares
Wood,Buzau,2014,157500,Hectares
Wood,Buzau,2015,157700,Hectares
Wood,Buzau,2016,157900,Hectares
Wood,Buzau,2017,157900,Hectares
Wood,Buzau,2018,158100,Hectares
Wood,Buzau,2019,158000,Hectares
Wood,Galati,1990,34800,Hectares
Wood,Galati,1991,35000,Hectares
Wood,Galati,1992,35000,Hectares
Wood,Galati,1993,35000,Hectares
Wood,Galati,1994,35100,Hectares
Wood,Galati,1995,34500,Hectares
Wood,Galati,1996,34700,Hectares
Wood,Galati,1997,33700,Hectares
Wood,Galati,1998,33800,Hectares
Wood,Galati,1999,34200,Hectares
Wood,Galati,2000,34200,Hectares
Wood,Galati,2001,34300,Hectares
Wood,Galati,2002,33800,Hectares
Wood,Galati,2003,34200,Hectares
Wood,Galati,2004,34800,Hectares
Wood,Galati,2005,34700,Hectares
Wood,Galati,2006,34400,Hectares
Wood,Galati,2007,35200,Hectares
Wood,Galati,2008,35700,Hectares
Wood,Galati,2009,35900,Hectares
Wood,Galati,2010,35800,Hectares
Wood,Galati,2011,35900,Hectares
Wood,Galati,2012,35900,Hectares
Wood,Galati,2013,35300,Hectares
Wood,Galati,2014,35300,Hectares
Wood,Galati,2015,35400,Hectares
Wood,Galati,2016,35400,Hectares
Wood,Galati,2017,35300,Hectares
Wood,Galati,2018,35400,Hectares
Wood,Galati,2019,35500,Hectares
Wood,Arges,1990,273100,Hectares
Wood,Arges,1991,273100,Hectares
Wood,Arges,1992,273300,Hectares
Wood,Arges,1993,273200,Hectares
Wood,Arges,1994,274400,Hectares
Wood,Arges,1995,275100,Hectares
Wood,Arges,1996,274900,Hectares
Wood,Arges,1997,274800,Hectares
Wood,Arges,1998,274500,Hectares
Wood,Arges,1999,274500,Hectares
Wood,Arges,2000,273700,Hectares
Wood,Arges,2001,273800,Hectares
Wood,Arges,2002,273900,Hectares
Wood,Arges,2003,271600,Hectares
Wood,Arges,2004,271300,Hectares
Wood,Arges,2005,271400,Hectares
Wood,Arges,2006,271300,Hectares
Wood,Arges,2007,272300,Hectares
Wood,Arges,2008,271600,Hectares
Wood,Arges,2009,271300,Hectares
Wood,Arges,2010,271500,Hectares
Wood,Arges,2011,271500,Hectares
Wood,Arges,2012,271300,Hectares
Wood,Arges,2013,271300,Hectares
Wood,Arges,2014,271300,Hectares
Wood,Arges,2015,272100,Hectares
Wood,Arges,2016,272000,Hectares
Wood,Arges,2017,272400,Hectares
Wood,Arges,2018,271700,Hectares
Wood,Arges,2019,271900,Hectares
Wood,Dambovita,1990,116300,Hectares
Wood,Dambovita,1991,116200,Hectares
Wood,Dambovita,1992,116400,Hectares
Wood,Dambovita,1993,116500,Hectares
Wood,Dambovita,1994,115700,Hectares
Wood,Dambovita,1995,115800,Hectares
Wood,Dambovita,1996,116100,Hectares
Wood,Dambovita,1997,115800,Hectares
Wood,Dambovita,1998,115400,Hectares
Wood,Dambovita,1999,115800,Hectares
Wood,Dambovita,2000,115600,Hectares
Wood,Dambovita,2001,115600,Hectares
Wood,Dambovita,2002,115600,Hectares
Wood,Dambovita,2003,115600,Hectares
Wood,Dambovita,2004,115500,Hectares
Wood,Dambovita,2005,115200,Hectares
Wood,Dambovita,2006,115700,Hectares
Wood,Dambovita,2007,115100,Hectares
Wood,Dambovita,2008,115700,Hectares
Wood,Dambovita,2009,115000,Hectares
Wood,Dambovita,2010,116300,Hectares
Wood,Dambovita,2011,116700,Hectares
Wood,Dambovita,2012,116300,Hectares
Wood,Dambovita,2013,116300,Hectares
Wood,Dambovita,2014,116000,Hectares
Wood,Dambovita,2015,116600,Hectares
Wood,Dambovita,2016,116600,Hectares
Wood,Dambovita,2017,116600,Hectares
Wood,Dambovita,2018,116600,Hectares
Wood,Dambovita,2019,116300,Hectares
Wood,Ilfov,1990,25500,Hectares
Wood,Ilfov,1991,19300,Hectares
Wood,Ilfov,1992,25400,Hectares
Wood,Ilfov,1993,24900,Hectares
Wood,Ilfov,1994,25100,Hectares
Wood,Ilfov,1995,24900,Hectares
Wood,Ilfov,1996,24900,Hectares
Wood,Ilfov,1997,24700,Hectares
Wood,Ilfov,1998,24700,Hectares
Wood,Ilfov,1999,24500,Hectares
Wood,Ilfov,2000,24800,Hectares
Wood,Ilfov,2001,24300,Hectares
Wood,Ilfov,2002,24400,Hectares
Wood,Ilfov,2003,24200,Hectares
Wood,Ilfov,2004,24400,Hectares
Wood,Ilfov,2005,24400,Hectares
Wood,Ilfov,2006,24400,Hectares
Wood,Ilfov,2007,24300,Hectares
Wood,Ilfov,2008,24400,Hectares
Wood,Ilfov,2009,24200,Hectares
Wood,Ilfov,2010,24300,Hectares
Wood,Ilfov,2011,24300,Hectares
Wood,Ilfov,2012,24300,Hectares
Wood,Ilfov,2013,24500,Hectares
Wood,Ilfov,2014,24500,Hectares
Wood,Ilfov,2015,24500,Hectares
Wood,Ilfov,2016,24500,Hectares
Wood,Ilfov,2017,24400,Hectares
Wood,Ilfov,2018,24400,Hectares
Wood,Ilfov,2019,24600,Hectares
Wood,Gorj,1990,249900,Hectares
Wood,Gorj,1991,249900,Hectares
Wood,Gorj,1992,249700,Hectares
Wood,Gorj,1993,251300,Hectares
Wood,Gorj,1994,251400,Hectares
Wood,Gorj,1995,245300,Hectares
Wood,Gorj,1996,245400,Hectares
Wood,Gorj,1997,245200,Hectares
Wood,Gorj,1998,244700,Hectares
Wood,Gorj,1999,245400,Hectares
Wood,Gorj,2000,245200,Hectares
Wood,Gorj,2001,245400,Hectares
Wood,Gorj,2002,244500,Hectares
Wood,Gorj,2003,244300,Hectares
Wood,Gorj,2004,244100,Hectares
Wood,Gorj,2005,243900,Hectares
Wood,Gorj,2006,244500,Hectares
Wood,Gorj,2007,246000,Hectares
Wood,Gorj,2008,244400,Hectares
Wood,Gorj,2009,244400,Hectares
Wood,Gorj,2010,243100,Hectares
Wood,Gorj,2011,243300,Hectares
Wood,Gorj,2012,243200,Hectares
Wood,Gorj,2013,242300,Hectares
Wood,Gorj,2014,242600,Hectares
Wood,Gorj,2015,243800,Hectares
Wood,Gorj,2016,244100,Hectares
Wood,Gorj,2017,244200,Hectares
Wood,Gorj,2018,244200,Hectares
Wood,Gorj,2019,243900,Hectares
Wood,Valcea,1990,267900,Hectares
Wood,Valcea,1991,268000,Hectares
Wood,Valcea,1992,267700,Hectares
Wood,Valcea,1993,267700,Hectares
Wood,Valcea,1994,268400,Hectares
Wood,Valcea,1995,267200,Hectares
Wood,Valcea,1996,267100,Hectares
Wood,Valcea,1997,267400,Hectares
Wood,Valcea,1998,267900,Hectares
Wood,Valcea,1999,267900,Hectares
Wood,Valcea,2000,267800,Hectares
Wood,Valcea,2001,267900,Hectares
Wood,Valcea,2002,267200,Hectares
Wood,Valcea,2003,265000,Hectares
Wood,Valcea,2004,266100,Hectares
Wood,Valcea,2005,263600,Hectares
Wood,Valcea,2006,262000,Hectares
Wood,Valcea,2007,262400,Hectares
Wood,Valcea,2008,262400,Hectares
Wood,Valcea,2009,265200,Hectares
Wood,Valcea,2010,265300,Hectares
Wood,Valcea,2011,265200,Hectares
Wood,Valcea,2012,265800,Hectares
Wood,Valcea,2013,265900,Hectares
Wood,Valcea,2014,266100,Hectares
Wood,Valcea,2015,266000,Hectares
Wood,Valcea,2016,264600,Hectares
Wood,Valcea,2017,264800,Hectares
Wood,Valcea,2018,260600,Hectares
Wood,Valcea,2019,261300,Hectares
Wood,Caras-Severin,1990,384000,Hectares
Wood,Caras-Severin,1991,384200,Hectares
Wood,Caras-Severin,1992,384100,Hectares
Wood,Caras-Severin,1993,384800,Hectares
Wood,Caras-Severin,1994,384600,Hectares
Wood,Caras-Severin,1995,384600,Hectares
Wood,Caras-Severin,1996,384300,Hectares
Wood,Caras-Severin,1997,384200,Hectares
Wood,Caras-Severin,1998,382900,Hectares
Wood,Caras-Severin,1999,382800,Hectares
Wood,Caras-Severin,2000,382600,Hectares
Wood,Caras-Severin,2001,382700,Hectares
Wood,Caras-Severin,2002,382600,Hectares
Wood,Caras-Severin,2003,382200,Hectares
Wood,Caras-Severin,2004,382000,Hectares
Wood,Caras-Severin,2005,382200,Hectares
Wood,Caras-Severin,2006,396500,Hectares
Wood,Caras-Severin,2007,396500,Hectares
Wood,Caras-Severin,2008,395500,Hectares
Wood,Caras-Severin,2009,395800,Hectares
Wood,Caras-Severin,2010,402100,Hectares
Wood,Caras-Severin,2011,402600,Hectares
Wood,Caras-Severin,2012,403100,Hectares
Wood,Caras-Severin,2013,408000,Hectares
Wood,Caras-Severin,2014,408800,Hectares
Wood,Caras-Severin,2015,412900,Hectares
Wood,Caras-Severin,2016,413300,Hectares
Wood,Caras-Severin,2017,413700,Hectares
Wood,Caras-Severin,2018,419900,Hectares
Wood,Caras-Severin,2019,422800,Hectares
Wood,Hunedoara,1990,299800,Hectares
Wood,Hunedoara,1991,299900,Hectares
Wood,Hunedoara,1992,299800,Hectares
Wood,Hunedoara,1993,298300,Hectares
Wood,Hunedoara,1994,298300,Hectares
Wood,Hunedoara,1995,304700,Hectares
Wood,Hunedoara,1996,304400,Hectares
Wood,Hunedoara,1997,304500,Hectares
Wood,Hunedoara,1998,304000,Hectares
Wood,Hunedoara,1999,304100,Hectares
Wood,Hunedoara,2000,303900,Hectares
Wood,Hunedoara,2001,303800,Hectares
Wood,Hunedoara,2002,304100,Hectares
Wood,Hunedoara,2003,304200,Hectares
Wood,Hunedoara,2004,304400,Hectares
Wood,Hunedoara,2005,304500,Hectares
Wood,Hunedoara,2006,305400,Hectares
Wood,Hunedoara,2007,305000,Hectares
Wood,Hunedoara,2008,305000,Hectares
Wood,Hunedoara,2009,305800,Hectares
Wood,Hunedoara,2010,307100,Hectares
Wood,Hunedoara,2011,307500,Hectares
Wood,Hunedoara,2012,308400,Hectares
Wood,Hunedoara,2013,309100,Hectares
Wood,Hunedoara,2014,310400,Hectares
Wood,Hunedoara,2015,311000,Hectares
Wood,Hunedoara,2016,311700,Hectares
Wood,Hunedoara,2017,311800,Hectares
Wood,Hunedoara,2018,312000,Hectares
Wood,Hunedoara,2019,311800,Hectares
Softwood,Bihor,1990,34200,Hectares
Softwood,Bihor,1991,34100,Hectares
Softwood,Bihor,1992,34100,Hectares
Softwood,Bihor,1993,32900,Hectares
Softwood,Bihor,1994,33300,Hectares
Softwood,Bihor,1995,33500,Hectares
Softwood,Bihor,1996,33300,Hectares
Softwood,Bihor,1997,33200,Hectares
Softwood,Bihor,1998,32900,Hectares
Softwood,Bihor,1999,33000,Hectares
Softwood,Bihor,2000,32600,Hectares
Softwood,Bihor,2001,32700,Hectares
Softwood,Bihor,2002,33200,Hectares
Softwood,Bihor,2003,32600,Hectares
Softwood,Bihor,2004,32000,Hectares
Softwood,Bihor,2005,31000,Hectares
Softwood,Bihor,2006,31700,Hectares
Softwood,Bihor,2007,34400,Hectares
Softwood,Bihor,2008,34900,Hectares
Softwood,Bihor,2009,34400,Hectares
Softwood,Bihor,2010,34400,Hectares
Softwood,Bihor,2011,33600,Hectares
Softwood,Bihor,2012,33300,Hectares
Softwood,Bihor,2013,32600,Hectares
Softwood,Bihor,2014,33400,Hectares
Softwood,Bihor,2015,33100,Hectares
Softwood,Bihor,2016,33900,Hectares
Softwood,Bihor,2017,34100,Hectares
Softwood,Bihor,2018,34300,Hectares
Softwood,Bihor,2019,34300,Hectares
Softwood,Cluj,1990,58600,Hectares
Softwood,Cluj,1991,58300,Hectares
Softwood,Cluj,1992,57700,Hectares
Softwood,Cluj,1993,57700,Hectares
Softwood,Cluj,1994,58400,Hectares
Softwood,Cluj,1995,57900,Hectares
Softwood,Cluj,1996,57800,Hectares
Softwood,Cluj,1997,57700,Hectares
Softwood,Cluj,1998,57700,Hectares
Softwood,Cluj,1999,57700,Hectares
Softwood,Cluj,2000,57700,Hectares
Softwood,Cluj,2001,57700,Hectares
Softwood,Cluj,2002,57400,Hectares
Softwood,Cluj,2003,57600,Hectares
Softwood,Cluj,2004,57800,Hectares
Softwood,Cluj,2005,61700,Hectares
Softwood,Cluj,2006,64900,Hectares
Softwood,Cluj,2007,65900,Hectares
Softwood,Cluj,2008,66900,Hectares
Softwood,Cluj,2009,65500,Hectares
Softwood,Cluj,2010,71000,Hectares
Softwood,Cluj,2011,72500,Hectares
Softwood,Cluj,2012,72300,Hectares
Softwood,Cluj,2013,71200,Hectares
Softwood,Cluj,2014,72400,Hectares
Softwood,Cluj,2015,74900,Hectares
Softwood,Cluj,2016,75000,Hectares
Softwood,Cluj,2017,75700,Hectares
Softwood,Cluj,2018,75700,Hectares
Softwood,Cluj,2019,76100,Hectares
Softwood,Maramures,1990,100200,Hectares
Softwood,Maramures,1991,100500,Hectares
Softwood,Maramures,1992,100000,Hectares
Softwood,Maramures,1993,99800,Hectares
Softwood,Maramures,1994,100000,Hectares
Softwood,Maramures,1995,100000,Hectares
Softwood,Maramures,1996,99700,Hectares
Softwood,Maramures,1997,97300,Hectares
Softwood,Maramures,1998,95000,Hectares
Softwood,Maramures,1999,95100,Hectares
Softwood,Maramures,2000,95400,Hectares
Softwood,Maramures,2001,95200,Hectares
Softwood,Maramures,2002,95000,Hectares
Softwood,Maramures,2003,97300,Hectares
Softwood,Maramures,2004,95200,Hectares
Softwood,Maramures,2005,93900,Hectares
Softwood,Maramures,2006,92600,Hectares
Softwood,Maramures,2007,101700,Hectares
Softwood,Maramures,2008,110700,Hectares
Softwood,Maramures,2009,111200,Hectares
Softwood,Maramures,2010,109300,Hectares
Softwood,Maramures,2011,108700,Hectares
Softwood,Maramures,2012,108600,Hectares
Softwood,Maramures,2013,107500,Hectares
Softwood,Maramures,2014,107700,Hectares
Softwood,Maramures,2015,108000,Hectares
Softwood,Maramures,2016,106900,Hectares
Softwood,Maramures,2017,106800,Hectares
Softwood,Maramures,2018,107500,Hectares
Softwood,Maramures,2019,107300,Hectares
Softwood,Alba,1990,69300,Hectares
Softwood,Alba,1991,69700,Hectares
Softwood,Alba,1992,69700,Hectares
Softwood,Alba,1993,69700,Hectares
Softwood,Alba,1994,69400,Hectares
Softwood,Alba,1995,69500,Hectares
Softwood,Alba,1996,69600,Hectares
Softwood,Alba,1997,69500,Hectares
Softwood,Alba,1998,69500,Hectares
Softwood,Alba,1999,69200,Hectares
Softwood,Alba,2000,68900,Hectares
Softwood,Alba,2001,68800,Hectares
Softwood,Alba,2002,68700,Hectares
Softwood,Alba,2003,68900,Hectares
Softwood,Alba,2004,70100,Hectares
Softwood,Alba,2005,72500,Hectares
Softwood,Alba,2006,72000,Hectares
Softwood,Alba,2007,76100,Hectares
Softwood,Alba,2008,72400,Hectares
Softwood,Alba,2009,73600,Hectares
Softwood,Alba,2010,73600,Hectares
Softwood,Alba,2011,74800,Hectares
Softwood,Alba,2012,73900,Hectares
Softwood,Alba,2013,73400,Hectares
Softwood,Alba,2014,73000,Hectares
Softwood,Alba,2015,69100,Hectares
Softwood,Alba,2016,69100,Hectares
Softwood,Alba,2017,69200,Hectares
Softwood,Alba,2018,69700,Hectares
Softwood,Alba,2019,69600,Hectares
Softwood,Brasov,1990,65700,Hectares
Softwood,Brasov,1991,65800,Hectares
Softwood,Brasov,1992,65400,Hectares
Softwood,Brasov,1993,64900,Hectares
Softwood,Brasov,1994,65200,Hectares
Softwood,Brasov,1995,64599,Hectares
Softwood,Brasov,1996,64500,Hectares
Softwood,Brasov,1997,65400,Hectares
Softwood,Brasov,1998,64900,Hectares
Softwood,Brasov,1999,64900,Hectares
Softwood,Brasov,2000,64900,Hectares
Softwood,Brasov,2001,65000,Hectares
Softwood,Brasov,2002,65000,Hectares
Softwood,Brasov,2003,64500,Hectares
Softwood,Brasov,2004,66500,Hectares
Softwood,Brasov,2005,64500,Hectares
Softwood,Brasov,2006,67700,Hectares
Softwood,Brasov,2007,69400,Hectares
Softwood,Brasov,2008,68000,Hectares
Softwood,Brasov,2009,70000,Hectares
Softwood,Brasov,2010,69900,Hectares
Softwood,Brasov,2011,70400,Hectares
Softwood,Brasov,2012,70300,Hectares
Softwood,Brasov,2013,69900,Hectares
Softwood,Brasov,2014,68800,Hectares
Softwood,Brasov,2015,70000,Hectares
Softwood,Brasov,2016,70500,Hectares
Softwood,Brasov,2017,69900,Hectares
Softwood,Brasov,2018,69900,Hectares
Softwood,Brasov,2019,69800,Hectares
Softwood,Covasna,1990,64800,Hectares
Softwood,Covasna,1991,64900,Hectares
Softwood,Covasna,1992,65400,Hectares
Softwood,Covasna,1993,64800,Hectares
Softwood,Covasna,1994,65000,Hectares
Softwood,Covasna,1995,64400,Hectares
Softwood,Covasna,1996,62400,Hectares
Softwood,Covasna,1997,61900,Hectares
Softwood,Covasna,1998,61000,Hectares
Softwood,Covasna,1999,60700,Hectares
Softwood,Covasna,2000,60400,Hectares
Softwood,Covasna,2001,59900,Hectares
Softwood,Covasna,2002,60700,Hectares
Softwood,Covasna,2003,60100,Hectares
Softwood,Covasna,2004,60000,Hectares
Softwood,Covasna,2005,60600,Hectares
Softwood,Covasna,2006,63600,Hectares
Softwood,Covasna,2007,68600,Hectares
Softwood,Covasna,2008,63800,Hectares
Softwood,Covasna,2009,65500,Hectares
Softwood,Covasna,2010,65300,Hectares
Softwood,Covasna,2011,67500,Hectares
Softwood,Covasna,2012,67600,Hectares
Softwood,Covasna,2013,67500,Hectares
Softwood,Covasna,2014,67400,Hectares
Softwood,Covasna,2015,65700,Hectares
Softwood,Covasna,2016,65500,Hectares
Softwood,Covasna,2017,64099,Hectares
Softwood,Covasna,2018,63600,Hectares
Softwood,Covasna,2019,63600,Hectares
Softwood,Harghita,1990,169300,Hectares
Softwood,Harghita,1991,169600,Hectares
Softwood,Harghita,1992,169300,Hectares
Softwood,Harghita,1993,169700,Hectares
Softwood,Harghita,1994,170300,Hectares
Softwood,Harghita,1995,168700,Hectares
Softwood,Harghita,1996,168000,Hectares
Softwood,Harghita,1997,167200,Hectares
Softwood,Harghita,1998,166300,Hectares
Softwood,Harghita,1999,166500,Hectares
Softwood,Harghita,2000,166400,Hectares
Softwood,Harghita,2001,167100,Hectares
Softwood,Harghita,2002,162400,Hectares
Softwood,Harghita,2003,158600,Hectares
Softwood,Harghita,2004,168500,Hectares
Softwood,Harghita,2005,171600,Hectares
Softwood,Harghita,2006,196000,Hectares
Softwood,Harghita,2007,193400,Hectares
Softwood,Harghita,2008,193100,Hectares
Softwood,Harghita,2009,191700,Hectares
Softwood,Harghita,2010,193600,Hectares
Softwood,Harghita,2011,192800,Hectares
Softwood,Harghita,2012,195500,Hectares
Softwood,Harghita,2013,192900,Hectares
Softwood,Harghita,2014,193000,Hectares
Softwood,Harghita,2015,191000,Hectares
Softwood,Harghita,2016,190900,Hectares
Softwood,Harghita,2017,189100,Hectares
Softwood,Harghita,2018,189000,Hectares
Softwood,Harghita,2019,188900,Hectares
Softwood,Mures,1990,79700,Hectares
Softwood,Mures,1991,79300,Hectares
Softwood,Mures,1992,79200,Hectares
Softwood,Mures,1993,78800,Hectares
Softwood,Mures,1994,78500,Hectares
Softwood,Mures,1995,78800,Hectares
Softwood,Mures,1996,78600,Hectares
Softwood,Mures,1997,78200,Hectares
Softwood,Mures,1998,77700,Hectares
Softwood,Mures,1999,77500,Hectares
Softwood,Mures,2000,77600,Hectares
Softwood,Mures,2001,77000,Hectares
Softwood,Mures,2002,76700,Hectares
Softwood,Mures,2003,76600,Hectares
Softwood,Mures,2004,76400,Hectares
Softwood,Mures,2005,76400,Hectares
Softwood,Mures,2006,76800,Hectares
Softwood,Mures,2007,76100,Hectares
Softwood,Mures,2008,84400,Hectares
Softwood,Mures,2009,82600,Hectares
Softwood,Mures,2010,82000,Hectares
Softwood,Mures,2011,84500,Hectares
Softwood,Mures,2012,84700,Hectares
Softwood,Mures,2013,87600,Hectares
Softwood,Mures,2014,87100,Hectares
Softwood,Mures,2015,86000,Hectares
Softwood,Mures,2016,84600,Hectares
Softwood,Mures,2017,84100,Hectares
Softwood,Mures,2018,82000,Hectares
Softwood,Mures,2019,82100,Hectares
Softwood,Sibiu,1990,69700,Hectares
Softwood,Sibiu,1991,69800,Hectares
Softwood,Sibiu,1992,69600,Hectares
Softwood,Sibiu,1993,69500,Hectares
Softwood,Sibiu,1994,69500,Hectares
Softwood,Sibiu,1995,68900,Hectares
Softwood,Sibiu,1996,68800,Hectares
Softwood,Sibiu,1997,68800,Hectares
Softwood,Sibiu,1998,68700,Hectares
Softwood,Sibiu,1999,68300,Hectares
Softwood,Sibiu,2000,68200,Hectares
Softwood,Sibiu,2001,68000,Hectares
Softwood,Sibiu,2002,68400,Hectares
Softwood,Sibiu,2003,68400,Hectares
Softwood,Sibiu,2004,68500,Hectares
Softwood,Sibiu,2005,68000,Hectares
Softwood,Sibiu,2006,68100,Hectares
Softwood,Sibiu,2007,72300,Hectares
Softwood,Sibiu,2008,70400,Hectares
Softwood,Sibiu,2009,72800,Hectares
Softwood,Sibiu,2010,73600,Hectares
Softwood,Sibiu,2011,73700,Hectares
Softwood,Sibiu,2012,73900,Hectares
Softwood,Sibiu,2013,74700,Hectares
Softwood,Sibiu,2014,74200,Hectares
Softwood,Sibiu,2015,74100,Hectares
Softwood,Sibiu,2016,74100,Hectares
Softwood,Sibiu,2017,74600,Hectares
Softwood,Sibiu,2018,74500,Hectares
Softwood,Sibiu,2019,74700,Hectares
Softwood,Neamt,1990,145300,Hectares
Softwood,Neamt,1991,144800,Hectares
Softwood,Neamt,1992,137400,Hectares
Softwood,Neamt,1993,145500,Hectares
Softwood,Neamt,1994,145100,Hectares
Softwood,Neamt,1995,144700,Hectares
Softwood,Neamt,1996,144500,Hectares
Softwood,Neamt,1997,145100,Hectares
Softwood,Neamt,1998,144700,Hectares
Softwood,Neamt,1999,144500,Hectares
Softwood,Neamt,2000,144300,Hectares
Softwood,Neamt,2001,143900,Hectares
Softwood,Neamt,2002,146700,Hectares
Softwood,Neamt,2003,145400,Hectares
Softwood,Neamt,2004,141600,Hectares
Softwood,Neamt,2005,144300,Hectares
Softwood,Neamt,2006,142000,Hectares
Softwood,Neamt,2007,141600,Hectares
Softwood,Neamt,2008,141100,Hectares
Softwood,Neamt,2009,141500,Hectares
Softwood,Neamt,2010,141000,Hectares
Softwood,Neamt,2011,139800,Hectares
Softwood,Neamt,2012,139200,Hectares
Softwood,Neamt,2013,138900,Hectares
Softwood,Neamt,2014,138900,Hectares
Softwood,Neamt,2015,140100,Hectares
Softwood,Neamt,2016,140200,Hectares
Softwood,Neamt,2017,140100,Hectares
Softwood,Neamt,2018,140300,Hectares
Softwood,Neamt,2019,140300,Hectares
Softwood,Suceava,1990,334100,Hectares
Softwood,Suceava,1991,334000,Hectares
Softwood,Suceava,1992,333900,Hectares
Softwood,Suceava,1993,333800,Hectares
Softwood,Suceava,1994,334000,Hectares
Softwood,Suceava,1995,334000,Hectares
Softwood,Suceava,1996,334000,Hectares
Softwood,Suceava,1997,333000,Hectares
Softwood,Suceava,1998,333000,Hectares
Softwood,Suceava,1999,329800,Hectares
Softwood,Suceava,2000,329200,Hectares
Softwood,Suceava,2001,329500,Hectares
Softwood,Suceava,2002,328100,Hectares
Softwood,Suceava,2003,326200,Hectares
Softwood,Suceava,2004,324300,Hectares
Softwood,Suceava,2005,325100,Hectares
Softwood,Suceava,2006,325000,Hectares
Softwood,Suceava,2007,325700,Hectares
Softwood,Suceava,2008,325200,Hectares
Softwood,Suceava,2009,325000,Hectares
Softwood,Suceava,2010,325800,Hectares
Softwood,Suceava,2011,326300,Hectares
Softwood,Suceava,2012,326100,Hectares
Softwood,Suceava,2013,325900,Hectares
Softwood,Suceava,2014,325700,Hectares
Softwood,Suceava,2015,324400,Hectares
Softwood,Suceava,2016,324800,Hectares
Softwood,Suceava,2017,325200,Hectares
Softwood,Suceava,2018,325000,Hectares
Softwood,Suceava,2019,324500,Hectares
Softwood,Buzau,1990,46800,Hectares
Softwood,Buzau,1991,46800,Hectares
Softwood,Buzau,1992,45900,Hectares
Softwood,Buzau,1993,46300,Hectares
Softwood,Buzau,1994,46000,Hectares
Softwood,Buzau,1995,45200,Hectares
Softwood,Buzau,1996,45100,Hectares
Softwood,Buzau,1997,44100,Hectares
Softwood,Buzau,1998,44100,Hectares
Softwood,Buzau,1999,43800,Hectares
Softwood,Buzau,2000,43700,Hectares
Softwood,Buzau,2001,43300,Hectares
Softwood,Buzau,2002,43300,Hectares
Softwood,Buzau,2003,43300,Hectares
Softwood,Buzau,2004,43600,Hectares
Softwood,Buzau,2005,43600,Hectares
Softwood,Buzau,2006,41600,Hectares
Softwood,Buzau,2007,45700,Hectares
Softwood,Buzau,2008,48400,Hectares
Softwood,Buzau,2009,46700,Hectares
Softwood,Buzau,2010,47900,Hectares
Softwood,Buzau,2011,53500,Hectares
Softwood,Buzau,2012,50700,Hectares
Softwood,Buzau,2013,48000,Hectares
Softwood,Buzau,2014,46000,Hectares
Softwood,Buzau,2015,48200,Hectares
Softwood,Buzau,2016,47700,Hectares
Softwood,Buzau,2017,47300,Hectares
Softwood,Buzau,2018,47600,Hectares
Softwood,Buzau,2019,48000,Hectares
Softwood,Galati,1990,200,Hectares
Softwood,Galati,1991,200,Hectares
Softwood,Galati,1992,200,Hectares
Softwood,Galati,1993,200,Hectares
